Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2003,UTIBANK,EQ,44.6,44.8,44.85,43.25,43.4,43.6,43.83,86759,3.80253E+11,,64722,0.746
02-01-2003,UTIBANK,EQ,43.6,44.45,44.45,42.7,43,42.95,43.36,60153,2.60848E+11,,43797,0.7281
03-01-2003,UTIBANK,EQ,42.95,42.75,43.4,41.5,41.9,42.05,42.54,69501,2.95668E+11,,44969,0.647
06-01-2003,UTIBANK,EQ,42.05,42.45,42.5,41.7,42.3,42,42.07,63343,2.66514E+11,,45060,0.7114
07-01-2003,UTIBANK,EQ,42,42,42.75,41.55,42,42.05,42.01,55957,2.35067E+11,,38109,0.681
08-01-2003,UTIBANK,EQ,42.05,42.4,43.3,42.05,42.8,42.9,42.55,39097,1.66363E+11,,24069,0.6156
09-01-2003,UTIBANK,EQ,42.9,42.7,43.7,42.7,43.2,43.25,43.29,62216,2.69332E+11,,36324,0.5838
10-01-2003,UTIBANK,EQ,43.25,45,45.5,43.25,45,44.35,44.52,250007,1.11312E+12,,138925,0.5557
13-01-2003,UTIBANK,EQ,44.35,44.5,45.5,44.15,44.25,44.35,44.7,162654,7.27144E+11,,85738,0.5271
14-01-2003,UTIBANK,EQ,44.35,44.9,44.9,43.8,44.45,44.2,44.18,84496,3.73338E+11,,70575,0.8352
15-01-2003,UTIBANK,EQ,44.2,44.5,45.45,44.3,45.45,45.05,44.83,141748,6.3544E+11,,103092,0.7273
16-01-2003,UTIBANK,EQ,45.05,45.45,47.8,45.4,46.25,46.2,46.87,710266,3.32907E+12,,298006,0.4196
17-01-2003,UTIBANK,EQ,46.2,47.25,47.25,44.4,44.4,44.6,45.49,271709,1.23595E+12,,127743,0.4701
20-01-2003,UTIBANK,EQ,44.6,44.95,45.3,44.25,44.8,44.8,44.83,135570,6.07748E+11,,82575,0.6091
21-01-2003,UTIBANK,EQ,44.8,48.4,48.4,44.45,46.1,46.05,45.84,213906,9.80458E+11,,115456,0.5398
22-01-2003,UTIBANK,EQ,46.05,47,47,45.25,45.5,45.55,45.98,198798,9.14121E+11,,103217,0.5192
23-01-2003,UTIBANK,EQ,45.55,46.45,47.5,45,46.7,46.7,46.51,262443,1.22064E+12,,153060,0.5832
24-01-2003,UTIBANK,EQ,46.7,47.45,47.45,44.35,44.55,44.55,45.21,132573,5.99327E+11,,64626,0.4875
27-01-2003,UTIBANK,EQ,44.55,50,50,42.2,42.5,42.4,42.88,95810,4.10801E+11,,66827,0.6975
